doi,best_oa_evidence,best_oa_host,best_oa_license,best_oa_url,best_oa_url_is_pdf,best_oa_version,data_standard,doi_url,genre,is_oa,is_paratext,journal_is_in_doaj,journal_is_oa,journal_issn_l,journal_issns,journal_name,oa_status,published_date,publisher
10.7589/0090-3558-28.3.435,,,,,False,,2,https://doi.org/10.7589/0090-3558-28.3.435,journal-article,False,False,False,False,0090-3558,0090-3558,Journal of Wildlife Diseases,closed,1992-07-01,Wildlife Disease Association
10.1016/0167-5877(94)00386-w,,,,,False,,2,https://doi.org/10.1016/0167-5877(94)00386-w,journal-article,False,False,False,False,0167-5877,0167-5877,Preventive Veterinary Medicine,closed,1995-01-01,Elsevier BV
10.7589/0090-3558-43.2.229,open (via free pdf),publisher,,http://www.jwildlifedis.org/doi/pdf/10.7589/0090-3558-43.2.229,True,publishedVersion,2,https://doi.org/10.7589/0090-3558-43.2.229,journal-article,True,False,False,False,0090-3558,0090-3558,Journal of Wildlife Diseases,bronze,2007-04-01,Wildlife Disease Association
10.1645/ge-2202.1,oa repository (via OAI-PMH title and first author match),repository,,https://bioone.org/journals/journal-of-parasitology/volume-96/issue-1/GE-2202.1/Sylvatic-Trichinella-spp-Infection-in-Finland/10.1645/GE-2202.1.pdf,True,submittedVersion,2,https://doi.org/10.1645/ge-2202.1,journal-article,True,False,False,False,0022-3395,"0022-3395,1937-2345",Journal of Parasitology,green,2010-02-01,American Society of Parasitologists
10.7589/0090-3558-46.2.474,open (via free pdf),publisher,,http://www.jwildlifedis.org/doi/pdf/10.7589/0090-3558-46.2.474,True,publishedVersion,2,https://doi.org/10.7589/0090-3558-46.2.474,journal-article,True,False,False,False,0090-3558,0090-3558,Journal of Wildlife Diseases,bronze,2010-04-01,Wildlife Disease Association
10.1016/j.vetmic.2005.06.010,,,,,False,,2,https://doi.org/10.1016/j.vetmic.2005.06.010,journal-article,False,False,False,False,0378-1135,0378-1135,Veterinary Microbiology,closed,2005-09-01,Elsevier BV
10.1016/j.vetmic.2006.11.015,,,,,False,,2,https://doi.org/10.1016/j.vetmic.2006.11.015,journal-article,False,False,False,False,0378-1135,0378-1135,Veterinary Microbiology,closed,2007-03-01,Elsevier BV
10.1016/j.ttbdis.2014.06.007,,,,,False,,2,https://doi.org/10.1016/j.ttbdis.2014.06.007,journal-article,False,False,False,False,1877-959X,1877-959X,Ticks and Tick-borne Diseases,closed,2014-10-01,Elsevier BV
10.1007/bf02051671,,,,,False,,2,https://doi.org/10.1007/bf02051671,journal-article,False,False,False,False,0301-486X,"0301-486X,1573-0832",Mycopathologia et Mycologia Applicata,closed,1969-07-01,Springer Science and Business Media LLC
10.1007/s00436-010-1847-5,oa repository (via OAI-PMH doi match),repository,,https://www.zora.uzh.ch/id/eprint/35233/1/Al-Sabi_et_all%2C_Parasitol_Res_%282010%29.pdf,True,acceptedVersion,2,https://doi.org/10.1007/s00436-010-1847-5,journal-article,True,False,False,False,0932-0113,"0932-0113,1432-1955",Parasitology Research,green,2010-04-07,Springer Science and Business Media LLC
10.1006/anbe.1996.0040,,,,,False,,2,https://doi.org/10.1006/anbe.1996.0040,journal-article,False,False,False,False,0003-3472,0003-3472,Animal Behaviour,closed,1996-02-01,Elsevier BV
10.1007/s00436-007-0628-2,,,,,False,,2,https://doi.org/10.1007/s00436-007-0628-2,journal-article,False,False,False,False,0932-0113,"0932-0113,1432-1955",Parasitology Research,closed,2007-07-05,Springer Science and Business Media LLC
10.1007/s00436-007-0830-2,,,,,False,,2,https://doi.org/10.1007/s00436-007-0830-2,journal-article,False,False,False,False,0932-0113,"0932-0113,1432-1955",Parasitology Research,closed,2007-12-19,Springer Science and Business Media LLC
10.7589/0090-3558-22.1.13,,,,,False,,2,https://doi.org/10.7589/0090-3558-22.1.13,journal-article,False,False,False,False,0090-3558,0090-3558,Journal of Wildlife Diseases,closed,1986-01-01,Wildlife Disease Association
10.1098/rspb.2002.2064,oa repository (via OAI-PMH doi match),repository,,http://europepmc.org/articles/pmc1691070?pdf=render,True,publishedVersion,2,https://doi.org/10.1098/rspb.2002.2064,journal-article,True,False,False,False,0962-8452,"0962-8452,1471-2954",Proceedings of the Royal Society of London. Series B: Biological Sciences,green,2002-08-07,The Royal Society
10.1016/s0304-4017(96)01119-3,,,,,False,,2,https://doi.org/10.1016/s0304-4017(96)01119-3,journal-article,False,False,False,False,0304-4017,0304-4017,Veterinary Parasitology,closed,1997-07-01,Elsevier BV
10.7589/0090-3558-30.4.481,,,,,False,,2,https://doi.org/10.7589/0090-3558-30.4.481,journal-article,False,False,False,False,0090-3558,0090-3558,Journal of Wildlife Diseases,closed,1994-10-01,Wildlife Disease Association
10.7589/0090-3558-30.4.481,,,,,False,,2,https://doi.org/10.7589/0090-3558-30.4.481,journal-article,False,False,False,False,0090-3558,0090-3558,Journal of Wildlife Diseases,closed,1994-10-01,Wildlife Disease Association
10.1177/104063879600800403,open (via free pdf),publisher,,http://journals.sagepub.com/doi/pdf/10.1177/104063879600800403,True,publishedVersion,2,https://doi.org/10.1177/104063879600800403,journal-article,True,False,False,False,1040-6387,"1040-6387,1943-4936",Journal of Veterinary Diagnostic Investigation,bronze,1996-10-01,SAGE Publications
10.7589/0090-3558-30.4.486,,,,,False,,2,https://doi.org/10.7589/0090-3558-30.4.486,journal-article,False,False,False,False,0090-3558,0090-3558,Journal of Wildlife Diseases,closed,1994-10-01,Wildlife Disease Association
10.7589/0090-3558-39.1.224,oa repository (via OAI-PMH title and first author match),repository,,https://bioone.org/journals/journal-of-wildlife-diseases/volume-39/issue-1/0090-3558-39.1.224/Coprologic-Survey-of-Parasites-of-Spotted-Hyenas-Crocuta-crocuta-in/10.7589/0090-3558-39.1.224.pdf,True,submittedVersion,2,https://doi.org/10.7589/0090-3558-39.1.224,journal-article,True,False,False,False,0090-3558,0090-3558,Journal of Wildlife Diseases,green,2003-01-01,Wildlife Disease Association
10.1638/2020-0045,oa repository (via OAI-PMH title and first author match),repository,,https://discovery.ucl.ac.uk/id/eprint/10114065/3/Woodroffe_Vax%20safety%20ACCEPTED%2004Nov20.pdf,True,submittedVersion,2,https://doi.org/10.1638/2020-0045,journal-article,True,False,False,False,1042-7260,1042-7260,Journal of Zoo and Wildlife Medicine,green,2021-04-01,American Association of Zoo Veterinarians
10.3201/eid0806.010358,oa journal (via doaj),publisher,cc-by,https://doi.org/10.3201/eid0806.010358,True,publishedVersion,2,https://doi.org/10.3201/eid0806.010358,journal-article,True,False,True,True,1080-6040,"1080-6040,1080-6059",Emerging Infectious Diseases,gold,2002-06-01,Centers for Disease Control and Prevention (CDC)
10.1016/j.cimid.2008.10.005,oa repository (via OAI-PMH doi match),repository,implied-oa,http://europepmc.org/articles/pmc7112579?pdf=render,True,publishedVersion,2,https://doi.org/10.1016/j.cimid.2008.10.005,journal-article,True,False,False,False,0147-9571,0147-9571,"Comparative Immunology, Microbiology and Infectious Diseases",green,2010-05-01,Elsevier BV
10.1016/j.vetpar.2014.06.001,oa repository (via OAI-PMH title and first author match),repository,,https://repository.up.ac.za/bitstream/2263/49160/1/Chaisi_Phylogeny_2014.pdf,True,submittedVersion,2,https://doi.org/10.1016/j.vetpar.2014.06.001,journal-article,True,False,False,False,0304-4017,0304-4017,Veterinary Parasitology,green,2014-08-01,Elsevier BV
10.1371/journal.pone.0007042,oa journal (via doaj),publisher,cc-by,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0007042&type=printable,True,publishedVersion,2,https://doi.org/10.1371/journal.pone.0007042,journal-article,True,False,True,True,1932-6203,1932-6203,PLoS ONE,gold,2009-09-16,Public Library of Science (PLoS)
10.1016/s0304-4017(02)00162-0,,,,,False,,2,https://doi.org/10.1016/s0304-4017(02)00162-0,journal-article,False,False,False,False,0304-4017,0304-4017,Veterinary Parasitology,closed,2002-08-01,Elsevier BV
10.1016/j.vetpar.2006.07.027,,,,,False,,2,https://doi.org/10.1016/j.vetpar.2006.07.027,journal-article,False,False,False,False,0304-4017,0304-4017,Veterinary Parasitology,closed,2007-01-01,Elsevier BV
10.1051/parasite/1990655244,open (via free pdf),publisher,,https://www.parasite-journal.org/articles/parasite/pdf/1990/05/parasite1990655-6p244.pdf,True,publishedVersion,2,https://doi.org/10.1051/parasite/1990655244,journal-article,True,False,False,False,0003-4150,0003-4150,Annales de Parasitologie Humaine et Comparée,bronze,1990-01-01,EDP Sciences
10.14411/fp.2007.005,open (via free pdf),publisher,,http://folia.paru.cas.cz/doi/10.14411/fp.2007.005.pdf,True,publishedVersion,2,https://doi.org/10.14411/fp.2007.005,journal-article,True,False,False,False,0015-5683,"0015-5683,1803-6465",Folia Parasitologica,bronze,2007-03-01,"Biology Centre, AS CR"
10.1017/s0950268898001289,oa repository (via pmcid lookup),repository,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2809544,True,publishedVersion,2,https://doi.org/10.1017/s0950268898001289,journal-article,True,False,False,False,0950-2688,"0950-2688,1469-4409",Epidemiology and Infection,green,1998-10-01,Cambridge University Press (CUP)
10.1046/j.1365-2028.1999.00179.x,,,,,False,,2,https://doi.org/10.1046/j.1365-2028.1999.00179.x,journal-article,False,False,False,False,0141-6707,0141-6707,African Journal of Ecology,closed,1999-09-01,Wiley
10.2307/3282102,,,,,False,,2,https://doi.org/10.2307/3282102,journal-article,False,False,False,False,0022-3395,0022-3395,The Journal of Parasitology,closed,1987-04-01,JSTOR
10.1128/jcm.25.8.1495-1497.1987,open (via free pdf),publisher,,https://jcm.asm.org/content/jcm/25/8/1495.full.pdf,True,publishedVersion,2,https://doi.org/10.1128/jcm.25.8.1495-1497.1987,journal-article,True,False,False,False,0095-1137,"0095-1137,1098-660X",Journal of Clinical Microbiology,bronze,1987-08-01,American Society for Microbiology
10.1017/s0950268800047786,oa repository (via OAI-PMH doi match),repository,,http://europepmc.org/articles/pmc2271795?pdf=render,True,publishedVersion,2,https://doi.org/10.1017/s0950268800047786,journal-article,True,False,False,False,0950-2688,"0950-2688,1469-4409",Epidemiology and Infection,green,1990-08-01,Cambridge University Press (CUP)
10.1017/s0950268800057289,oa repository (via OAI-PMH doi match),repository,,http://europepmc.org/articles/pmc2271262?pdf=render,True,publishedVersion,2,https://doi.org/10.1017/s0950268800057289,journal-article,True,False,False,False,0950-2688,"0950-2688,1469-4409",Epidemiology and Infection,green,1993-12-01,Cambridge University Press (CUP)
10.1016/j.vetpar.2006.11.012,,,,,False,,2,https://doi.org/10.1016/j.vetpar.2006.11.012,journal-article,False,False,False,False,0304-4017,0304-4017,Veterinary Parasitology,closed,2007-04-01,Elsevier BV
10.7589/0090-3558-28.1.116,open (via free pdf),publisher,,http://www.jwildlifedis.org/doi/pdf/10.7589/0090-3558-28.1.116,True,publishedVersion,2,https://doi.org/10.7589/0090-3558-28.1.116,journal-article,True,False,False,False,0090-3558,0090-3558,Journal of Wildlife Diseases,bronze,1992-01-01,Wildlife Disease Association
10.1128/aem.02164-07,open (via free pdf),publisher,,https://aem.asm.org/content/74/6/1726.full.pdf,True,publishedVersion,2,https://doi.org/10.1128/aem.02164-07,journal-article,True,False,False,False,0099-2240,"0099-2240,1098-5336",Applied and Environmental Microbiology,bronze,2008-03-15,American Society for Microbiology
10.14411/fp.2000.005,open (via free pdf),publisher,,http://folia.paru.cas.cz/doi/10.14411/fp.2000.005.pdf,True,publishedVersion,2,https://doi.org/10.14411/fp.2000.005,journal-article,True,False,False,False,0015-5683,"0015-5683,1803-6465",Folia Parasitologica,bronze,2000-03-01,"Biology Centre, AS CR"
10.2478/helm-2018-0035,oa journal (via doaj),publisher,cc-by-nc-nd,https://content.sciendo.com/downloadpdf/journals/helm/56/1/article-p66.pdf,True,publishedVersion,2,https://doi.org/10.2478/helm-2018-0035,journal-article,True,False,True,True,0440-6605,"1336-9083,0440-6605",Helminthologia,gold,2019-03-01,Walter de Gruyter GmbH
10.1016/j.vetpar.2004.08.005,,,,,False,,2,https://doi.org/10.1016/j.vetpar.2004.08.005,journal-article,False,False,False,False,0304-4017,0304-4017,Veterinary Parasitology,closed,2004-12-01,Elsevier BV
10.1017/s0031182099005491,oa repository (via OAI-PMH title match),repository,,https://ora.ox.ac.uk/objects/uuid:4d6c5a37-6bce-43ee-b8d8-b206c7213325/download_file?safe_filename=Item&file_format=application%2Fpdf&type_of_work=Journal+article,True,submittedVersion,2,https://doi.org/10.1017/s0031182099005491,journal-article,True,False,False,False,0031-1820,"0031-1820,1469-8161",Parasitology,green,2000-03-01,Cambridge University Press (CUP)
10.1016/j.beproc.2006.08.003,,,,,False,,2,https://doi.org/10.1016/j.beproc.2006.08.003,journal-article,False,False,False,False,0376-6357,0376-6357,Behavioural Processes,closed,2006-11-01,Elsevier BV
10.1089/vbz.2007.0271,,,,,False,,2,https://doi.org/10.1089/vbz.2007.0271,journal-article,False,False,False,False,1530-3667,"1530-3667,1557-7759",Vector-Borne and Zoonotic Diseases,closed,2008-10-01,Mary Ann Liebert Inc
10.1016/0021-9975(92)90005-f,,,,,False,,2,https://doi.org/10.1016/0021-9975(92)90005-f,journal-article,False,False,False,False,0021-9975,0021-9975,Journal of Comparative Pathology,closed,1992-10-01,Elsevier BV
10.1111/j.1600-0684.1991.tb00559.x,,,,,False,,2,https://doi.org/10.1111/j.1600-0684.1991.tb00559.x,journal-article,False,False,False,False,0047-2565,"0047-2565,1600-0684",Journal of Medical Primatology,closed,1991-10-01,Wiley
10.1111/j.1365-2028.1995.tb00803.x,,,,,False,,2,https://doi.org/10.1111/j.1365-2028.1995.tb00803.x,journal-article,False,False,False,False,0141-6707,"0141-6707,1365-2028",African Journal of Ecology,closed,1995-09-01,Wiley
10.1016/j.parint.2020.102220,,,,,False,,2,https://doi.org/10.1016/j.parint.2020.102220,journal-article,False,False,False,False,1383-5769,1383-5769,Parasitology International,closed,2021-02-01,Elsevier BV
10.1007/bf02693656,,,,,False,,2,https://doi.org/10.1007/bf02693656,journal-article,False,False,False,False,0164-0291,"0164-0291,1573-8604",International Journal of Primatology,closed,1986-10-01,Springer Science and Business Media LLC
10.1111/j.1365-2028.1991.tb00995.x,,,,,False,,2,https://doi.org/10.1111/j.1365-2028.1991.tb00995.x,journal-article,False,False,False,False,0141-6707,"0141-6707,1365-2028",African Journal of Ecology,closed,1991-06-01,Wiley
10.1111/j.1600-0684.1994.tb00096.x,,,,,False,,2,https://doi.org/10.1111/j.1600-0684.1994.tb00096.x,journal-article,False,False,False,False,0047-2565,0047-2565,Journal of Medical Primatology,closed,1994-01-01,Wiley
10.7589/0090-3558-34.1.158,,,,,False,,2,https://doi.org/10.7589/0090-3558-34.1.158,journal-article,False,False,False,False,0090-3558,0090-3558,Journal of Wildlife Diseases,closed,1998-01-01,Wildlife Disease Association
10.1007/978-1-4615-6428-7_49,,,,,False,,2,https://doi.org/10.1007/978-1-4615-6428-7_49,book-chapter,False,False,False,False,,,An Atlas of Mammalian Chromosomes,closed,1970-01-01,Springer New York
10.2307/3284508,,,,,False,,2,https://doi.org/10.2307/3284508,journal-article,False,False,False,False,0022-3395,0022-3395,The Journal of Parasitology,closed,1998-04-01,JSTOR
10.1017/s0950268899002113,oa repository (via pmcid lookup),repository,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2809621,True,publishedVersion,2,https://doi.org/10.1017/s0950268899002113,journal-article,True,False,False,False,0950-2688,"0950-2688,1469-4409",Epidemiology and Infection,green,1999-04-01,Cambridge University Press (CUP)
10.1128/jcm.42.6.2602-2608.2004,open (via free pdf),publisher,,https://jcm.asm.org/content/42/6/2602.full.pdf,True,publishedVersion,2,https://doi.org/10.1128/jcm.42.6.2602-2608.2004,journal-article,True,False,False,False,0095-1137,"0095-1137,1098-660X",Journal of Clinical Microbiology,bronze,2004-06-01,American Society for Microbiology
10.22621/cfn.v120i1.241,open (via free pdf),publisher,,http://www.canadianfieldnaturalist.ca/index.php/cfn/article/download/241/241,True,publishedVersion,2,https://doi.org/10.22621/cfn.v120i1.241,journal-article,True,False,False,False,0008-3550,0008-3550,The Canadian Field-Naturalist,bronze,2006-01-01,Ottawa Field-Naturalists' Club
10.1128/jcm.41.3.1263-1265.2003,open (via free pdf),publisher,,https://jcm.asm.org/content/41/3/1263.full.pdf,True,publishedVersion,2,https://doi.org/10.1128/jcm.41.3.1263-1265.2003,journal-article,True,False,False,False,0095-1137,"0095-1137,1098-660X",Journal of Clinical Microbiology,bronze,2003-03-01,American Society for Microbiology
10.7589/0090-3558-39.2.449,open (via free pdf),publisher,,http://www.jwildlifedis.org/doi/pdf/10.7589/0090-3558-39.2.449,True,publishedVersion,2,https://doi.org/10.7589/0090-3558-39.2.449,journal-article,True,False,False,False,0090-3558,0090-3558,Journal of Wildlife Diseases,bronze,2003-04-01,Wildlife Disease Association
10.1007/s10764-015-9866-9,oa repository (via OAI-PMH doi match),repository,,https://hal-univ-rennes1.archives-ouvertes.fr/hal-01217980/file/Social%20and%20ecological%20correlates%20of%20parasitic%20infections_accepted.pdf,True,submittedVersion,2,https://doi.org/10.1007/s10764-015-9866-9,journal-article,True,False,False,False,0164-0291,"0164-0291,1573-8604",International Journal of Primatology,green,2015-10-01,Springer Science and Business Media LLC
10.1099/vir.0.80235-0,open (via free article),publisher,,https://doi.org/10.1099/vir.0.80235-0,True,publishedVersion,2,https://doi.org/10.1099/vir.0.80235-0,journal-article,True,False,False,False,0022-1317,"0022-1317,1465-2099",Journal of General Virology,bronze,2004-12-01,Microbiology Society
10.7589/0090-3558-29.1.90,,,,,False,,2,https://doi.org/10.7589/0090-3558-29.1.90,journal-article,False,False,False,False,0090-3558,0090-3558,Journal of Wildlife Diseases,closed,1993-01-01,Wildlife Disease Association
10.1136/vr.134.25.651,,,,,False,,2,https://doi.org/10.1136/vr.134.25.651,journal-article,False,False,False,False,0042-4900,"0042-4900,2042-7670",Veterinary Record,closed,1994-06-18,Wiley
10.1093/jmedent/29.6.1063,,,,,False,,2,https://doi.org/10.1093/jmedent/29.6.1063,journal-article,False,False,False,False,0022-2585,"1938-2928,0022-2585",Journal of Medical Entomology,closed,1992-11-01,Oxford University Press (OUP)
10.1023/b:verc.0000017286.27592.aa,,,,,False,,2,https://doi.org/10.1023/b:verc.0000017286.27592.aa,journal-article,False,False,False,False,0165-7380,0165-7380,Veterinary Research Communications,closed,2004-04-01,Springer Science and Business Media LLC
10.1023/b:verc.0000017286.27592.aa,,,,,False,,2,https://doi.org/10.1023/b:verc.0000017286.27592.aa,journal-article,False,False,False,False,0165-7380,0165-7380,Veterinary Research Communications,closed,2004-04-01,Springer Science and Business Media LLC
10.1136/vr.163.1.27,,,,,False,,2,https://doi.org/10.1136/vr.163.1.27,journal-article,False,False,False,False,0042-4900,0042-4900,Veterinary Record,closed,2008-07-01,Wiley
NA,,,,,False,,1,https://doi.org/NA,,False,False,False,False,,,,,,
10.1136/vr.154.26.827,,,,,False,,2,https://doi.org/10.1136/vr.154.26.827,journal-article,False,False,False,False,0042-4900,0042-4900,Veterinary Record,closed,2004-06-01,Wiley
10.1080/00034983.1990.11812477,,,,,False,,2,https://doi.org/10.1080/00034983.1990.11812477,journal-article,False,False,False,False,0003-4983,"0003-4983,1364-8594",Annals of Tropical Medicine & Parasitology,closed,1990-01-01,Informa UK Limited
10.1111/j.1469-7998.1996.tb05939.x,,,,,False,,2,https://doi.org/10.1111/j.1469-7998.1996.tb05939.x,journal-article,False,False,False,False,0952-8369,"0952-8369,1469-7998",Journal of Zoology,closed,1996-07-01,Wiley
10.1080/00034983.2000.11813526,,,,,False,,2,https://doi.org/10.1080/00034983.2000.11813526,journal-article,False,False,False,False,0003-4983,"0003-4983,1364-8594",Annals of Tropical Medicine & Parasitology,closed,2000-03-01,Informa UK Limited
10.7589/0090-3558-44.1.16,open (via free pdf),publisher,,http://www.jwildlifedis.org/doi/pdf/10.7589/0090-3558-44.1.16,True,publishedVersion,2,https://doi.org/10.7589/0090-3558-44.1.16,journal-article,True,False,False,False,0090-3558,0090-3558,Journal of Wildlife Diseases,bronze,2008-01-01,Wildlife Disease Association
10.1016/0020-7519(94)00133-9,,,,,False,,2,https://doi.org/10.1016/0020-7519(94)00133-9,journal-article,False,False,False,False,0020-7519,0020-7519,International Journal for Parasitology,closed,1995-03-01,Elsevier BV
10.7589/0090-3558-29.1.73,,,,,False,,2,https://doi.org/10.7589/0090-3558-29.1.73,journal-article,False,False,False,False,0090-3558,0090-3558,Journal of Wildlife Diseases,closed,1993-01-01,Wildlife Disease Association
10.1128/aem.63.10.3946-3949.1997,open (via free pdf),publisher,,https://aem.asm.org/content/aem/63/10/3946.full.pdf,True,publishedVersion,2,https://doi.org/10.1128/aem.63.10.3946-3949.1997,journal-article,True,False,False,False,0099-2240,"0099-2240,1098-5336",Applied and Environmental Microbiology,bronze,1997-10-01,American Society for Microbiology
10.3923/pjbs.2007.2208.2212,,,,,False,,2,https://doi.org/10.3923/pjbs.2007.2208.2212,journal-article,False,False,False,False,1028-8880,1028-8880,Pakistan Journal of Biological Sciences,closed,2007-06-15,Science Alert
10.7589/0090-3558-26.3.392,open (via free pdf),publisher,,http://www.jwildlifedis.org/doi/pdf/10.7589/0090-3558-26.3.392,True,publishedVersion,2,https://doi.org/10.7589/0090-3558-26.3.392,journal-article,True,False,False,False,0090-3558,0090-3558,Journal of Wildlife Diseases,bronze,1990-07-01,Wildlife Disease Association
10.1515/mamm.2006.049,,,,,False,,2,https://doi.org/10.1515/mamm.2006.049,journal-article,False,False,False,False,0025-1461,"1864-1547,0025-1461",mammalia,closed,2006-01-01,Walter de Gruyter GmbH
10.1111/j.1348-0421.1990.tb01000.x,open (via free pdf),publisher,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1348-0421.1990.tb01000.x,True,publishedVersion,2,https://doi.org/10.1111/j.1348-0421.1990.tb01000.x,journal-article,True,False,False,False,0385-5600,0385-5600,Microbiology and Immunology,bronze,1990-02-01,Wiley
10.1590/s0036-46651986000300005,open (via page says license),publisher,cc-by-nc,http://www.scielo.br/pdf/rimtsp/v28n3/05.pdf,True,publishedVersion,2,https://doi.org/10.1590/s0036-46651986000300005,journal-article,True,False,False,True,0036-4665,0036-4665,Revista do Instituto de Medicina Tropical de São Paulo,gold,1986-06-01,FapUNIFESP (SciELO)
10.1007/s10344-005-0084-1,,,,,False,,2,https://doi.org/10.1007/s10344-005-0084-1,journal-article,False,False,False,False,1439-0574,"1612-4642,1439-0574",European Journal of Wildlife Research,closed,2005-05-10,Springer Science and Business Media LLC
10.7589/0090-3558-43.2.309,open (via free pdf),publisher,,http://www.jwildlifedis.org/doi/pdf/10.7589/0090-3558-43.2.309,True,publishedVersion,2,https://doi.org/10.7589/0090-3558-43.2.309,journal-article,True,False,False,False,0090-3558,0090-3558,Journal of Wildlife Diseases,bronze,2007-04-01,Wildlife Disease Association
10.2307/3280604,,,,,False,,2,https://doi.org/10.2307/3280604,journal-article,False,False,False,False,0022-3395,0022-3395,The Journal of Parasitology,closed,1980-02-01,JSTOR
10.1136/vr.150.7.218,,,,,False,,2,https://doi.org/10.1136/vr.150.7.218,journal-article,False,False,False,False,0042-4900,0042-4900,Veterinary Record,closed,2002-02-01,Wiley
10.2478/s11687-008-0032-1,oa journal (via doaj),publisher,cc-by-nc-nd,https://content.sciendo.com/downloadpdf/journals/helm/45/4/article-p157.pdf,True,publishedVersion,2,https://doi.org/10.2478/s11687-008-0032-1,journal-article,True,False,True,True,0440-6605,"1336-9083,0440-6605",Helminthologia,gold,2008-12-01,Walter de Gruyter GmbH
10.1017/s0022149x08123860,,,,,False,,2,https://doi.org/10.1017/s0022149x08123860,journal-article,False,False,False,False,0022-149X,"0022-149X,1475-2697",Journal of Helminthology,closed,2009-03-01,Cambridge University Press (CUP)
10.1051/parasite/1993683139,open (via free pdf),publisher,,https://www.parasite-journal.org/articles/parasite/pdf/1993/03/parasite1993683p139.pdf,True,publishedVersion,2,https://doi.org/10.1051/parasite/1993683139,journal-article,True,False,False,False,0003-4150,0003-4150,Annales de Parasitologie Humaine et Comparée,bronze,1993-01-01,EDP Sciences
10.1051/parasite/1975502209,open (via free pdf),publisher,,https://www.parasite-journal.org/articles/parasite/pdf/1975/02/parasite1975502p209.pdf,True,publishedVersion,2,https://doi.org/10.1051/parasite/1975502209,journal-article,True,False,False,False,0003-4150,0003-4150,Annales de Parasitologie Humaine et Comparée,bronze,1975-01-01,EDP Sciences
10.1051/parasite/1988633224,open (via free pdf),publisher,,https://www.parasite-journal.org/articles/parasite/pdf/1988/03/parasite1988633p224.pdf,True,publishedVersion,2,https://doi.org/10.1051/parasite/1988633224,journal-article,True,False,False,False,0003-4150,0003-4150,Annales de Parasitologie Humaine et Comparée,bronze,1988-01-01,EDP Sciences
10.1051/parasite/198964142,open (via free pdf),publisher,,https://www.parasite-journal.org/articles/parasite/pdf/1989/01/parasite1989641p42.pdf,True,publishedVersion,2,https://doi.org/10.1051/parasite/198964142,journal-article,True,False,False,False,0003-4150,0003-4150,Annales de Parasitologie Humaine et Comparée,bronze,1989-01-01,EDP Sciences
